Query,Tool
Calculate the total worth of my assets.,CalculatePortfolioValue
How much is Disney stock trading for right now?,GetStockPrice
I want to buy 10 shares of AMD.,ExecuteTrade
Can I see the historical performance of Coca-Cola for the past year?,GetHistoricalData
What's the overall market sentiment for Boeing?,AnalyzeSentiment
Show me my current portfolio value.,CalculatePortfolioValue
What's the live price of Microsoft?,GetStockPrice
Execute a sell order for 5 shares of Google.,ExecuteTrade
Retrieve the historical trading data for IBM from 2019-01-01 to 2019-12-31.,GetHistoricalData
Is the news sentiment for Salesforce positive or negative?,AnalyzeSentiment
Compute the current financial value of my holdings.,CalculatePortfolioValue
What's the latest price for TSLA?,GetStockPrice
Place an order to purchase 15 units of SPY.,ExecuteTrade
Get me the price history for Walmart over the last three months.,GetHistoricalData
Aggregate news sentiment for Pfizer.,AnalyzeSentiment
What is the combined value of all my stocks and assets?,CalculatePortfolioValue
What is the price of Tesla stock?,GetStockPrice
Buy 10 shares of Apple.,ExecuteTrade
Show me the historical data for Google stock from 2020 to 2022.,GetHistoricalData
Analyze the market sentiment for Amazon.,AnalyzeSentiment
What is the current value of my investment portfolio?,CalculatePortfolioValue
Get the real-time quote for Microsoft.,GetStockPrice
Sell 50 shares of NVIDIA.,ExecuteTrade
Provide me with past prices for Netflix for the last month.,GetHistoricalData
What's the sentiment score for Walmart?,AnalyzeSentiment
Calculate the total worth of my holdings.,CalculatePortfolioValue
How much is IBM stock trading for right now?,GetStockPrice
I want to purchase 20 shares of Pfizer.,ExecuteTrade
Fetch the historical trading volume for Coca-Cola from Q1 2023.,GetHistoricalData
Is the news sentiment positive or negative for Meta?,AnalyzeSentiment
Display the aggregate value of my stocks.,CalculatePortfolioValue
What's the latest price for Adobe (ADBE)?,GetStockPrice
Execute a buy order for 5 shares of Salesforce.,ExecuteTrade
Show me the stock chart for Disney from the past year.,GetHistoricalData
Assess the market's current feeling about Starbucks.,AnalyzeSentiment
Compute my current total portfolio value.,CalculatePortfolioValue
Current trading price of Johnson & Johnson?,GetStockPrice
Place an order to sell 10 shares of Intel.,ExecuteTrade
Get the closing prices for Boeing between January and March of last year.,GetHistoricalData
Provide a sentiment analysis for General Electric.,AnalyzeSentiment
What is the overall financial value of my account?,CalculatePortfolioValue
What is the current stock price of Apple?,GetStockPrice
How much is Microsoft stock trading for today?,GetStockPrice
Can you give me the real-time quote for Google?,GetStockPrice
What's the live price of Tesla?,GetStockPrice
Show me the current valuation of Amazon's stock.,GetStockPrice
Buy 10 shares of Netflix.,ExecuteTrade
Sell 50 units of Intel stock.,ExecuteTrade
Place an order to purchase 20 shares of Nvidia.,ExecuteTrade
Execute a sell order for 5 shares of Pfizer.,ExecuteTrade
I want to buy 15 shares of Starbucks.,ExecuteTrade
Show me the historical performance of Coca-Cola for the last year.,GetHistoricalData
Retrieve past stock data for Disney from 2020 to 2023.,GetHistoricalData
Get the price history for ExxonMobil over the last 6 months.,GetHistoricalData
Display the historical chart for Meta Platforms for the past 3 months.,GetHistoricalData
Analyze the market sentiment for Boeing.,AnalyzeSentiment
What's the current news sentiment around General Electric?,AnalyzeSentiment
Provide a sentiment score for Oracle Corporation.,AnalyzeSentiment
Is the sentiment positive or negative for Bank of America?,AnalyzeSentiment
Evaluate the recent financial news for Johnson & Johnson.,AnalyzeSentiment
What is the total value of my investment portfolio?,CalculatePortfolioValue
Calculate the current worth of my entire account.,CalculatePortfolioValue
How much are all my holdings valued at right now?,CalculatePortfolioValue
Show me the total value of my assets.,CalculatePortfolioValue
Compute the current financial worth of my portfolio.,CalculatePortfolioValue
What's the current price of Google stock?,GetStockPrice
Sell 50 shares of Meta Platforms.,ExecuteTrade
Show me the stock performance of IBM for the last year.,GetHistoricalData
What's the market sentiment for Coca-Cola?,AnalyzeSentiment
What's my total portfolio worth?,CalculatePortfolioValue
How much is Microsoft stock trading for right now?,GetStockPrice
Purchase 25 shares of NVIDIA.,ExecuteTrade
What was Apple's closing price every day in July 2023?,GetHistoricalData
Analyze the news sentiment around Tesla.,AnalyzeSentiment
Show me the current value of all my holdings.,CalculatePortfolioValue
Show me the live quote for AMD.,GetStockPrice
I want to buy 100 shares of Starbucks.,ExecuteTrade
Get the historical volume data for ExxonMobil from 2020 to 2022.,GetHistoricalData
Is the market feeling positive or negative about Amazon right now based on news?,AnalyzeSentiment
Calculate the total value of my investment account.,CalculatePortfolioValue
What's the latest stock price for Netflix?,GetStockPrice
Place an order to sell 10 shares of Intel.,ExecuteTrade
Fetch past prices for General Electric over the past 6 months.,GetHistoricalData
Give me a sentiment score for JPMorgan Chase.,AnalyzeSentiment
How much is my entire stock portfolio worth today?,CalculatePortfolioValue
Current value of Amazon shares?,GetStockPrice
Initiate a buy for 5 shares of Adobe.,ExecuteTrade
Display the stock chart for Boeing from January 1st to March 31st this year.,GetHistoricalData
What are analysts saying about Microsoft's recent earnings?,AnalyzeSentiment
What's the current monetary value of all my assets?,CalculatePortfolioValue
What is the current price of Google stock?,GetStockPrice
Buy 10 shares of Apple.,ExecuteTrade
Show me the historical data for Microsoft from 2020 to 2023.,GetHistoricalData
Analyze the market sentiment for Tesla.,AnalyzeSentiment
What is the total value of my investment portfolio?,CalculatePortfolioValue
Tell me the live quote for Amazon.,GetStockPrice
Sell 50 units of Netflix.,ExecuteTrade
Retrieve past performance data for NVIDIA for the last 6 months.,GetHistoricalData
Is the sentiment around Meta positive or negative right now?,AnalyzeSentiment
Compute the current worth of all my assets.,CalculatePortfolioValue
How much is Intel stock trading for right now?,GetStockPrice
Place an order to purchase 25 shares of Disney.,ExecuteTrade
Can I see the daily prices for Ford for Q1 2023?,GetHistoricalData
Determine the market mood for JPMorgan.,AnalyzeSentiment
What's the total equity in my account?,CalculatePortfolioValue
Get me the real-time price for Pfizer.,GetStockPrice
I want to acquire 15 shares of Coca-Cola.,ExecuteTrade
Give me the trading history for Oracle for the last year.,GetHistoricalData
How do financial articles view Boeing currently?,AnalyzeSentiment
Show me the value of all my holdings.,CalculatePortfolioValue
What's the current price of Starbucks?,GetStockPrice
Sell all my shares of AT&T.,ExecuteTrade
Fetch past volume data for General Electric for the month of July 2022.,GetHistoricalData
Aggregate and score recent news for Adobe.,AnalyzeSentiment
Calculate the total current financial value of my account.,CalculatePortfolioValue
What is the current price of Apple stock?,GetStockPrice
Buy 15 shares of Google.,ExecuteTrade
Show me the historical data for Microsoft for the last year.,GetHistoricalData
Analyze the market sentiment for Tesla.,AnalyzeSentiment
What is the total value of my portfolio?,CalculatePortfolioValue
Retrieve the real-time quote for Amazon.,GetStockPrice
Sell 20 units of Netflix.,ExecuteTrade
Determine the sentiment for Pfizer based on recent news.,AnalyzeSentiment
Calculate the current worth of all my holdings.,CalculatePortfolioValue
How much is NVIDIA stock right now?,GetStockPrice
Place an order to buy 5 shares of Starbucks.,ExecuteTrade
Give me the daily closing prices for Oracle for the last month.,GetHistoricalData
What's the overall market sentiment for Intel?,AnalyzeSentiment
Show me the total financial value of my account.,CalculatePortfolioValue
What's the live price for JPMorgan Chase?,GetStockPrice
Execute a sell order for 100 shares of AT&T.,ExecuteTrade
I need the historical volume data for Coca-Cola for the past quarter.,GetHistoricalData
Is the news sentiment positive or negative for Disney?,AnalyzeSentiment
Compute the current value of my investment portfolio.,CalculatePortfolioValue
Tell me the current trading price for Visa.,GetStockPrice
I want to acquire 50 shares of Walmart.,ExecuteTrade
Provide the historical performance of ExxonMobil for the last 5 years.,GetHistoricalData
Score the recent news articles for general sentiment about Boeing.,AnalyzeSentiment
What is the combined value of all my assets?,CalculatePortfolioValue
What is the current price of GOOGL?,GetStockPrice
Buy 50 shares of Apple.,ExecuteTrade
Show me the price history for IBM from 2020 to 2021.,GetHistoricalData
What's the market sentiment for Meta Platforms?,AnalyzeSentiment
What is the total value of my portfolio?,CalculatePortfolioValue
Show me the real-time trading price for Microsoft.,GetStockPrice
Sell 100 units of Google stock.,ExecuteTrade
Can I see past data for Walmart stock for the last month?,GetHistoricalData
Analyze the news sentiment for Salesforce.,AnalyzeSentiment
Calculate my current portfolio worth.,CalculatePortfolioValue
How much is Amazon stock trading for right now?,GetStockPrice
Place an order to purchase 25 shares of MSFT.,ExecuteTrade
Determine the general sentiment surrounding Tesla stock based on recent articles.,AnalyzeSentiment
Show me the current financial value of all my holdings.,CalculatePortfolioValue
Get me the live quote for NFLX.,GetStockPrice
Initiate a sale of 15 shares of NVDA.,ExecuteTrade
Give me the historical performance of S&P 500 over the past year.,GetHistoricalData
How positive or negative is the news for Disney?,AnalyzeSentiment
How much is my entire investment portfolio worth right now?,CalculatePortfolioValue
What's the latest stock price for TSLA?,GetStockPrice
I want to buy 5 shares of AMD.,ExecuteTrade
Retrieve the stock data for Intel for the last 5 years.,GetHistoricalData
Get me a sentiment score for JPMorgan Chase.,AnalyzeSentiment
Please compute the total value of my assets.,CalculatePortfolioValue
What is the current price of Google stock?,GetStockPrice
Buy 15 shares of Amazon.,ExecuteTrade
Show me the historical data for Apple from 2022 to 2023.,GetHistoricalData
Analyze the sentiment around Tesla.,AnalyzeSentiment
What is the current value of my investment portfolio?,CalculatePortfolioValue
Get the real-time quote for Microsoft.,GetStockPrice
Sell 100 shares of Netflix.,ExecuteTrade
Fetch past prices for NVIDIA for the last 6 months.,GetHistoricalData
Determine the market sentiment for IBM.,AnalyzeSentiment
Calculate the total worth of my holdings.,CalculatePortfolioValue
How much is Disney stock trading for right now?,GetStockPrice
Place an order to buy 5 shares of Coca-Cola.,ExecuteTrade
I need the historical volume data for Boeing for Q1 2023.,GetHistoricalData
Is the sentiment for General Electric positive or negative?,AnalyzeSentiment
Show me the overall value of my assets.,CalculatePortfolioValue
What's the latest price for Pfizer?,GetStockPrice
Execute a sell order for 25 shares of AMD.,ExecuteTrade
Retrieve the daily closing prices for Starbucks from January 2024 to March 2024.,GetHistoricalData
Provide a sentiment score for Meta Platforms.,AnalyzeSentiment
Compute the current total value of my equities.,CalculatePortfolioValue
Can you get me the live price for Oracle?,GetStockPrice
Purchase 50 shares of Intel.,ExecuteTrade
Get the performance data for SPY over the last year.,GetHistoricalData
Assess the market feeling about Johnson & Johnson.,AnalyzeSentiment
How much is my entire investment account valued at today?,CalculatePortfolioValue
What is the current price of GOOGL?,GetStockPrice
How much is Microsoft stock trading for right now?,GetStockPrice
Show me the latest price for Amazon.,GetStockPrice
What's the real-time quote for NFLX?,GetStockPrice
Can I get the live price for TSLA?,GetStockPrice
Buy 50 shares of AAPL.,ExecuteTrade
Sell 100 units of NVDA stock.,ExecuteTrade
Purchase 15 shares of Meta.,ExecuteTrade
Place an order to sell 20 shares of AMD.,ExecuteTrade
I want to buy 5 shares of JPM.,ExecuteTrade
Show me the past performance of SPY for the last year.,GetHistoricalData
Can I see the trading history for BAC over the past month?,GetHistoricalData
Fetch the historical data for XOM for the last 5 years.,GetHistoricalData
Provide the daily closing prices for WMT from 2022.,GetHistoricalData
What's the market sentiment for Google?,AnalyzeSentiment
Analyze the news sentiment for Pfizer.,AnalyzeSentiment
Is the sentiment around Netflix positive or negative based on recent articles?,AnalyzeSentiment
Get me the overall sentiment score for Tesla's recent news.,AnalyzeSentiment
How do investors feel about Apple based on financial news?,AnalyzeSentiment
What is my current portfolio worth?,CalculatePortfolioValue
Show me the total value of my investments.,CalculatePortfolioValue
Compute the current value of my entire stock portfolio.,CalculatePortfolioValue
How much is my account currently valued at?,CalculatePortfolioValue
Can you calculate the total worth of all my holdings?,CalculatePortfolioValue
What is the current stock price of Google?,GetStockPrice
Sell 20 shares of Microsoft.,ExecuteTrade
Show me the historical data for Apple stock from 2022-01-01 to 2022-12-31.,GetHistoricalData
What's the market sentiment around Tesla?,AnalyzeSentiment
Calculate the total value of my investment portfolio.,CalculatePortfolioValue
How much is Amazon stock trading for right now?,GetStockPrice
Buy 50 shares of Netflix.,ExecuteTrade
Retrieve past prices for IBM over the last 3 months.,GetHistoricalData
Analyze the sentiment for Pfizer based on recent news.,AnalyzeSentiment
What is the current worth of my holdings?,CalculatePortfolioValue
Give me the live quote for NVIDIA.,GetStockPrice
Place an order to buy 10 shares of AMD.,ExecuteTrade
Can I see the closing prices for Coca-Cola during Q1 2023?,GetHistoricalData
Is the sentiment for Disney positive or negative?,AnalyzeSentiment
Show me my overall portfolio value.,CalculatePortfolioValue
What's the real-time price of Facebook stock?,GetStockPrice
Execute a sell order for 100 shares of General Electric.,ExecuteTrade
Get me the stock performance data for Oracle for the past year.,GetHistoricalData
Determine the sentiment score for Bank of America.,AnalyzeSentiment
Compute the total financial value of my account.,CalculatePortfolioValue
Current trading price of Intel?,GetStockPrice
I want to purchase 5 shares of Shopify.,ExecuteTrade
Provide historical volume data for Boeing from last month.,GetHistoricalData
Check the market sentiment for Johnson & Johnson.,AnalyzeSentiment
What is the current value of all my assets?,CalculatePortfolioValue
What is the price of Tesla stock?,GetStockPrice
Buy 10 shares of Apple.,ExecuteTrade
Show me the historical data for Google for the last month.,GetHistoricalData
What's the market sentiment for Microsoft?,AnalyzeSentiment
Calculate the total value of my portfolio.,CalculatePortfolioValue
How much is Amazon stock trading for right now?,GetStockPrice
Sell 50 shares of IBM.,ExecuteTrade
Fetch past prices for Netflix from 2022.,GetHistoricalData
Analyze the recent news for NVIDIA.,AnalyzeSentiment
What is the current worth of all my assets?,CalculatePortfolioValue
Give me the live quote for Disney stock.,GetStockPrice
Purchase 20 shares of Coca-Cola.,ExecuteTrade
Provide historical volume data for Intel for the last quarter.,GetHistoricalData
Is the sentiment for Starbucks positive or negative?,AnalyzeSentiment
Compute the aggregate value of my investment account.,CalculatePortfolioValue
What's the latest price for Meta Platforms?,GetStockPrice
Execute a sell order for 100 shares of Pfizer.,ExecuteTrade
Show me the stock performance of Ford over the last year.,GetHistoricalData
Determine the market sentiment for JP Morgan Chase.,AnalyzeSentiment
Show me my total portfolio value.,CalculatePortfolioValue
How much is Walmart stock currently?,GetStockPrice
Acquire 5 shares of Berkshire Hathaway.,ExecuteTrade
Retrieve the closing prices for ExxonMobil from January 2021 to December 2021.,GetHistoricalData
What's the overall market sentiment for General Motors?,AnalyzeSentiment
Calculate the current financial value of my holdings.,CalculatePortfolioValue
What's the current price of GOOGL?,GetStockPrice
How much is AAPL trading for right now?,GetStockPrice
Show me the live price of Microsoft.,GetStockPrice
What's the latest quote for NVDA?,GetStockPrice
Real-time price of Amazon?,GetStockPrice
Buy 50 shares of TSLA.,ExecuteTrade
Sell 100 shares of MSFT.,ExecuteTrade
Place an order to buy 20 units of GOOG.,ExecuteTrade
I want to sell all my AMD stock.,ExecuteTrade
Purchase 5 shares of NFLX.,ExecuteTrade
Show me the stock performance of IBM for the last year.,GetHistoricalData
What was Apple's closing price every day in July 2023?,GetHistoricalData
Get the historical data for SPY from 2020 to 2022.,GetHistoricalData
Can I see the price history of GME for the past 6 months?,GetHistoricalData
Fetch past trading data for Netflix since its IPO.,GetHistoricalData
What's the market sentiment for Google?,AnalyzeSentiment
Analyze the news sentiment for Amazon.,AnalyzeSentiment
Is the sentiment around Tesla positive or negative?,AnalyzeSentiment
Check the current sentiment for Microsoft stock.,AnalyzeSentiment
Tell me the sentiment score for NVIDIA.,AnalyzeSentiment
What's the total value of my investments?,CalculatePortfolioValue
Calculate my current portfolio worth.,CalculatePortfolioValue
Show me the value of all my holdings.,CalculatePortfolioValue
How much is my entire portfolio worth right now?,CalculatePortfolioValue
Compute the total current value of my account.,CalculatePortfolioValue
What is the price of Tesla stock?,GetStockPrice
Buy 10 shares of Apple.,ExecuteTrade
Show me the historical data for Google for the last year.,GetHistoricalData
What's the current market sentiment for Amazon?,AnalyzeSentiment
Calculate the total value of my portfolio.,CalculatePortfolioValue
Get me the real-time quote for Microsoft.,GetStockPrice
Sell 50 shares of Netflix stock.,ExecuteTrade
Provide past price data for Disney for the last 6 months.,GetHistoricalData
Analyze the sentiment around NVIDIA.,AnalyzeSentiment
How much is my investment account worth?,CalculatePortfolioValue
Current price of SPDR S&P 500 ETF Trust (SPY)?,GetStockPrice
Purchase 20 shares of Meta Platforms.,ExecuteTrade
Fetch historical trading data for Starbucks from 2021 to 2023.,GetHistoricalData
What's the news sentiment for Johnson & Johnson?,AnalyzeSentiment
Give me an updated valuation of my assets.,CalculatePortfolioValue
How much is ExxonMobil trading for right now?,GetStockPrice
Place an order to buy 5 shares of Berkshire Hathaway.,ExecuteTrade
Show me the stock prices for Adobe between January and March this year.,GetHistoricalData
Determine the market sentiment for PayPal Holdings.,AnalyzeSentiment
