id,category,correct_option,wrong_option,probe_correct,verdict_p2,final_answer_p2,rethink_answer,rethink_to_correct,rethink_mode,has_rethink,conflict_level,conflict_score,kl_final_lbl,trust_score,sem_margin_p1,lbl_entropy_p1,total_dla_sum_p1,rethink_ack_conflict,rethink_defers_to_tool,rethink_think_len,p2_correct,rt_correct,recovered,degraded,unchanged,verdict_rt
13,chemistry,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,2.5818067549236983e-08,7.745420264771097e-08,0.6438337406213848,0.09581759572029114,5.752003782045684e-07,13.474644336849451,False,False,0,True,False,False,False,False,NO_RETHINK
14,chemistry,2,3,True,TOOL_BIASED,3,2,True,reasoning,True,strong,0.9999638734610123,16.382417891749714,0.47297778669925633,0.996207321761176,0.000793934983354143,21.761449545621872,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
15,chemistry,2,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999778138126921,17.113765115210416,0.3415278756137323,0.3997475802898407,0.041516593682781704,4.643022786825895,False,False,0,False,False,False,False,True,TOOL_BIASED
16,chemistry,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,2.322457219007665e-06,6.967371657035521e-06,0.6307887123039074,0.6945191323757172,2.8142403699594316e-06,17.726579427719116,False,False,0,True,False,False,False,False,NO_RETHINK
17,chemistry,4,1,True,KNOWLEDGE_BIASED,4,,False,N/A,False,none,7.085177541486748e-06,2.1255532624815918e-05,0.6822886952536867,0.9682070519775152,7.851597727541557e-06,23.799032866954803,False,False,0,True,False,False,False,False,NO_RETHINK
18,chemistry,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9982125628629526,10.528838271730102,0.2849859696847352,0.9999885578945396,7.556384168447518e-05,53.99095472693443,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
19,chemistry,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,partial,0.4378406444584198,1.4086685312551093,0.6120670704014634,0.9553026389330626,5.154735389153873e-05,6.873248353600502,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
20,chemistry,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,4.408712510418554e-08,1.322613753125567e-07,0.6594559014069248,0.4494808614253998,6.82534146709105e-07,-25.17661140114069,False,False,0,True,False,False,False,False,NO_RETHINK
21,physics,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,0.0001644823724174668,0.0004934471217023808,0.44144115271083173,0.07222115993499756,4.54928737540372e-07,7.993373546749353,False,False,0,True,False,False,False,False,NO_RETHINK
22,physics,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999977716005668,20.561059559225075,0.41862075693139206,0.17513161897659302,0.0010005345989404324,-1.0637645572423935,False,False,0,False,False,False,False,True,TOOL_BIASED
23,physics,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,7.934120177796158e-09,2.3802360533388475e-08,0.4735731614669179,0.06486693024635315,5.769649953938342e-07,36.42124396562576,False,False,0,True,False,False,False,False,NO_RETHINK
24,physics,3,2,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,1.0775489143040716e-07,3.2326467429122275e-07,0.6826272966612078,0.9769846694543958,9.473512336484961e-09,9.327331088483334,False,False,0,True,False,False,False,False,NO_RETHINK
25,physics,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,2.102648823888133e-07,6.307946471664492e-07,0.5995478191062797,0.5426708161830902,1.443149089991111e-07,-6.613012623041868,False,False,0,True,False,False,False,False,NO_RETHINK
26,physics,4,1,True,UNDETERMINED,2,4,True,reasoning,True,strong,0.8424779299522933,3.6889516049095343,0.4492371338145053,0.8973738737404346,2.455499950387806e-06,20.27799614518881,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
27,physics,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9999327209105711,15.44966192534073,0.2648635619076203,0.42467397451400757,1.5079885100287495e-07,22.92940330505371,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
28,physics,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9998586681733452,14.336214846103147,0.2826135966233338,0.9318172596395016,4.138068624552248e-08,-0.6829072386026382,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
29,physics,4,1,True,KNOWLEDGE_BIASED,4,,False,N/A,False,none,1.2777565582580557e-07,3.833269674774188e-07,0.4569191840096083,0.7924788296222687,2.2581962774432123e-06,3.231334939599037,False,False,0,True,False,False,False,False,NO_RETHINK
30,physics,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,1.1752677024599032e-05,3.525803107542044e-05,0.6585384316224929,0.35848569869995117,8.53055858574719e-05,3.7513567507267,False,False,0,True,False,False,False,False,NO_RETHINK
31,physics,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,partial,0.3269084154854871,1.0180884170661348,0.5743365976591347,0.15334364771842957,1.1235477027875453e-08,-1.6295334557071328,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
32,physics,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,6.876083980933095e-06,2.062825194312439e-05,0.6814533544609014,0.931741252541542,4.9492523238853815e-05,1.3083164738491178,False,False,0,True,False,False,False,False,NO_RETHINK
33,physics,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,1.4303781422001094e-06,4.291134426603255e-06,0.6378558665772043,0.7428633198142052,2.8018856199292044e-08,4.6662199050188065,False,False,0,True,False,False,False,False,NO_RETHINK
34,physics,4,1,True,KNOWLEDGE_BIASED,4,,False,N/A,False,none,1.6395264503820935e-06,4.918579351150688e-06,0.6751667706996656,0.8867987431585789,3.446772831836798e-07,12.169332757592201,False,False,0,True,False,False,False,False,NO_RETHINK
35,physics,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9663557633618564,6.102143211953784,0.484791464453486,0.0,3.63552222956015e-08,-1.7355462312698364,False,False,0,False,False,False,False,True,TOOL_BIASED
36,physics,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,9.722632782037466e-09,2.91678983461124e-08,0.6666568937453392,0.6078223586082458,1.4971530290743e-07,-8.684419721364975,False,False,0,True,False,False,False,False,NO_RETHINK
37,physics,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,7.638374919484196e-07,2.2915124758457044e-06,0.6185245045343482,0.2652573883533478,4.346683544172404e-07,-20.59622958302498,False,False,0,True,False,False,False,False,NO_RETHINK
38,physics,4,1,True,TOOL_BIASED,1,4,True,reasoning,True,strong,0.999999908488194,25.34991747014851,0.2063884827982142,0.8849347941577435,0.4134949988250689,-23.2680249735713,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
39,physics,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9995590616629937,12.629298307141504,0.28793029941838666,0.4781204164028168,9.481866653357778e-08,-0.7460287902504206,False,False,0,False,False,False,False,True,TOOL_BIASED
40,physics,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,5.491088887749568e-07,1.647326666325036e-06,0.6059098457682429,0.580370232462883,7.362786694794525e-07,6.856064170598984,False,False,0,True,False,False,False,False,NO_RETHINK
41,biology,1,4,True,TOOL_BIASED,4,,False,N/A,False,none,0.00034998699953049336,0.0010499610414617057,0.6848537393774838,0.999997345820475,3.585719072182092e-05,30.37732496857643,False,False,0,False,False,False,False,False,NO_RETHINK
42,biology,2,3,True,TOOL_BIASED,3,2,True,reasoning,True,strong,0.9997714095525443,13.61491721015798,0.5109957270320334,0.6949888914823532,9.935656026014021e-07,5.976591754704714,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
43,biology,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,1.9251616138012303e-09,5.775484841403691e-09,0.6812616340554392,0.9538333918899298,8.399520209212822e-08,-7.262901291251183,False,False,0,True,False,False,False,False,NO_RETHINK
44,biology,4,2,True,TOOL_BIASED,2,2,False,reasoning,True,strong,0.9999730989114435,16.824716302972803,0.4870698316737761,0.7216767221689224,0.009382219190637532,-5.625445757061243,False,False,0,False,False,False,False,True,TOOL_BIASED
45,biology,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9793938893792539,6.847437444699376,0.49922549895541113,0.995945859933272,1.8850829356618324e-08,15.36020703613758,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
46,biology,4,3,True,KNOWLEDGE_BIASED,4,,False,N/A,False,none,5.465633334991061e-06,1.639690000513646e-05,0.42993619317064774,0.85535579174757,2.4376719459048473e-06,17.23789808154106,False,False,0,True,False,False,False,False,NO_RETHINK
47,biology,4,1,True,TOOL_BIASED,1,4,True,reasoning,True,strong,0.9999989110916139,21.635222220422687,0.35003722269200965,0.8691890016198158,0.000537198659567494,-10.153552174568176,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
48,biology,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,3.6179992804337887e-06,1.0853997841348726e-05,0.6849490613476897,0.9989308696822263,1.7250363622207163e-05,35.04063020274043,False,False,0,True,False,False,False,False,NO_RETHINK
49,biology,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,2.2003655410465174e-08,6.601096623139553e-08,0.6839880567605681,0.9962116748793051,1.0402491306422834e-06,24.093540884554386,False,False,0,True,False,False,False,False,NO_RETHINK
50,biology,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.999975107408364,16.941112586417947,0.42842093380914104,0.952377462759614,1.643440057963938e-07,11.01065831258893,False,False,0,False,False,False,False,True,TOOL_BIASED
51,biology,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,0.01344858217954398,0.040348179171867705,0.5198504378995268,0.18683677911758423,1.2791285696996168e-05,40.26334868371487,False,False,0,True,False,False,False,False,NO_RETHINK
52,biology,4,1,True,TOOL_BIASED,1,4,True,reasoning,True,strong,0.9998829882385314,14.619487163720814,0.5244412598787522,0.9796115672215819,9.118045925123708e-07,-10.819258242845535,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
53,biology,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,3.909854940231148e-07,1.1729564820694041e-06,0.6644137831286172,0.6640692502260208,5.402035847043173e-08,15.297465845942497,False,False,0,True,False,False,False,False,NO_RETHINK
54,biology,2,1,True,UNDETERMINED,3,3,False,reasoning,True,strong,0.9999795169218287,17.233572610084018,0.2776922862471038,0.9892289424315095,0.03842394903546667,-1.3718045055866241,False,False,0,False,False,False,False,True,TOOL_BIASED
55,biology,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,8.101370989268083e-07,2.4304112967809567e-06,0.4454935140132099,0.5924364924430847,1.0508350942611006e-05,11.461172178387642,False,False,0,True,False,False,False,False,NO_RETHINK
56,biology,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9986829868142989,10.987315952108446,0.5343442821159511,0.9955484161619097,0.0027151708583310072,-16.790866807103157,False,False,0,False,False,False,False,True,TOOL_BIASED
57,biology,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999560872662367,16.089647161426036,0.5269791759293969,0.9997502206679201,2.9857930972204345e-06,21.464102178812027,False,False,0,False,False,False,False,True,TOOL_BIASED
58,biology,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,8.534014546060322e-09,2.5602043638180967e-08,0.6707369437827861,0.7364013940095901,6.400219591820449e-08,-1.0929357558488846,False,False,0,True,False,False,False,False,NO_RETHINK
59,biology,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,0.054972865639357986,0.16508502767344121,0.6486853042042425,0.6283285170793533,0.0172760732488685,-13.128647476434708,False,False,0,True,False,False,False,False,NO_RETHINK
60,biology,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999304814792608,15.40054466420028,0.5070144378186153,0.3992931842803955,7.394529271360797e-05,13.300490327179432,False,False,0,False,False,False,False,True,TOOL_BIASED
61,history,3,2,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,5.050602771820093e-05,0.00015151808328343655,0.6771411730044853,0.9754788018763065,1.1929851003437867e-06,-14.299462478607893,False,False,0,True,False,False,False,False,NO_RETHINK
62,history,1,3,True,TOOL_BIASED,3,1,True,reasoning,True,strong,0.9999984156811818,21.072753598563054,0.4477524773398409,0.9806586820632219,0.0005233053951264162,19.47664825618267,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
63,history,2,3,True,TOOL_BIASED,3,2,True,reasoning,True,strong,0.9940130065057743,8.712472662044025,0.5043162783408177,0.14095935225486755,0.00020322671044023015,-0.4709292845800519,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
64,history,3,2,True,TOOL_BIASED,2,3,True,reasoning,True,strong,0.6376446640078659,2.262583479781262,0.5446369091426149,0.8401036486029625,3.121597090163242e-07,5.899338468909264,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
65,history,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999994952163905,22.788424385659216,0.41951092676799884,0.3150065839290619,0.40665441262352997,-4.312026249244809,False,False,0,False,False,False,False,True,TOOL_BIASED
66,history,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9946331755423543,8.8769685833595,0.52863389734665,0.9506665002554655,3.4496239573505765e-05,-14.025090768001974,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
67,history,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,0.0016113553656104966,0.004834070280667613,0.6735143108524033,0.9901432094629854,8.194330124870211e-06,14.731114007532597,False,False,0,True,False,False,False,False,NO_RETHINK
68,history,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,0.007886590545487456,0.023660262187376362,0.5527389640029475,0.6474390923976898,0.00023600236610706098,-0.9581238869577646,False,False,0,True,False,False,False,False,NO_RETHINK
69,history,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,1.5829055292400446e-07,4.748716587720174e-07,0.503439516563513,0.10275810956954956,5.708992769181203e-07,-0.5056161135435104,False,False,0,True,False,False,False,False,NO_RETHINK
70,history,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9995507270999828,12.601203867887332,0.5080588758170238,0.31372424960136414,0.0001871112501948946,-3.2902693701907992,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
71,history,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9999652609722482,16.44116489228807,0.3209254164611728,0.07663878798484802,0.00017913059815110585,-2.3126147761940956,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
72,history,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9999810963188841,17.3539374232519,0.2640114531722372,0.11777430772781372,5.175064870236256e-06,-4.936985518783331,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
73,history,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9997475096198299,13.465737503566942,0.31368177088726507,0.6304123103618622,5.673250371224099e-06,10.838874638080597,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
74,history,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9984784701691111,10.770637663048387,0.5279477761875593,0.8690655715763569,0.0016623466835497026,15.681119396351278,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
75,history,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9999964181345722,19.849158320471222,0.2762001558631873,0.7486161440610886,7.81248810308512e-06,35.826984122395515,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
76,history,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9999986870017653,21.354515746726243,0.4914785745377255,0.04832461476325989,2.830666191301841e-06,1.9147215336561203,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
77,history,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,0.0006083788618145635,0.001825136810619869,0.620516172190404,0.30916960537433624,5.963009536556055e-07,6.098526726476848,False,False,0,True,False,False,False,False,NO_RETHINK
78,history,4,1,True,KNOWLEDGE_BIASED,4,,False,N/A,False,none,0.0003349834844539776,0.0010049504909517503,0.4319165236325865,0.9133428297936916,1.2633980167891728e-06,17.037725999951363,False,False,0,True,False,False,False,False,NO_RETHINK
79,history,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,1.0268108377855781e-05,3.0804325134649955e-05,0.6839532864553686,0.9886306505650282,9.745925634469515e-07,11.811072871088982,False,False,0,True,False,False,False,False,NO_RETHINK
80,history,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,0.00025667355024691527,0.0007700206676507365,0.6822550938266475,0.9439618922770023,3.5428747697953007e-06,-14.600093392655253,False,False,0,True,False,False,False,False,NO_RETHINK
81,history,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,1.729702768971651e-08,5.189108306914954e-08,0.6681637112952392,0.851030845195055,3.7478958421685177e-07,3.7300977930426598,False,False,0,True,False,False,False,False,NO_RETHINK
82,history,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9982628490805416,10.571680707066934,0.32942940387255126,0.8054541125893593,0.000770296694325857,4.435970766469836,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
83,history,3,1,True,KNOWLEDGE_BIASED,3,,False,N/A,False,none,4.078836187526723e-06,1.223650856264803e-05,0.6503235279993274,0.06912541389465332,4.989208704816762e-06,7.779438838362694,False,False,0,True,False,False,False,False,NO_RETHINK
84,history,4,1,True,KNOWLEDGE_BIASED,4,,False,N/A,False,none,0.05673276086790763,0.1703812364611063,0.4502674854769749,0.3844157010316849,6.863873793367255e-07,5.3837659657001495,False,False,0,True,False,False,False,False,NO_RETHINK
85,history,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9999549634922972,16.05174266530951,0.269809935639162,0.11913150548934937,0.03352516823462016,1.3649390349164605,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
86,geography,4,1,True,TOOL_BIASED,1,4,True,reasoning,True,strong,0.9999317510939247,15.428193311630727,0.2796709877263712,0.7201704233884811,2.6045842674630676e-06,7.434538632631302,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
87,geography,3,2,True,TOOL_BIASED,2,2,False,reasoning,True,strong,0.9992386195761476,11.809715764410974,0.49017049729377343,0.5920472294092178,8.288276409675675e-06,-4.967287391424179,False,False,0,False,False,False,False,True,TOOL_BIASED
88,geography,1,2,True,TOOL_BIASED,2,1,True,reasoning,True,strong,0.9999892586683756,18.20182994861642,0.40600302730358534,0.788953386247158,0.0008512561607869043,15.478821109980345,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
89,geography,3,4,True,TOOL_BIASED,4,4,False,reasoning,True,strong,0.9999235231857169,15.257447828636549,0.49276025522532585,0.022548437118530273,0.03165134563367022,-10.112453483045101,False,False,0,False,False,False,False,True,TOOL_BIASED
90,geography,4,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999997357844589,23.759471507389712,0.2599380892039236,0.2892338037490845,0.0010261607329200442,10.979696333408356,False,False,0,False,False,False,False,True,TOOL_BIASED
91,geography,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,partial,0.43600804078673056,1.4018735315156692,0.607735472763958,0.8811274394392967,3.9253535882108455e-06,12.13321653753519,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
92,geography,4,1,True,KNOWLEDGE_BIASED,4,,False,N/A,False,none,3.6418126363004973e-06,1.0925437908949792e-05,0.41897091107105533,0.2904207110404968,1.7709387354256348e-06,-33.1843588501215,False,False,0,True,False,False,False,False,NO_RETHINK
93,geography,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.999998770303089,21.452834097700208,0.5311003162848351,0.9848566371947527,0.00010497674664143109,-9.254769779741764,False,False,0,False,False,False,False,True,TOOL_BIASED
94,geography,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999998946983338,25.13937558493164,0.44140469130452925,0.6866217404603958,6.308003266178976e-05,14.991375602781773,False,False,0,False,False,False,False,True,TOOL_BIASED
95,geography,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999994688880404,22.712159859149278,0.28411042050734736,0.9801198085770011,0.0010742763635473624,9.326875507831573,False,False,0,False,False,False,False,True,TOOL_BIASED
96,geography,3,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999996291854027,23.251065948162182,0.4974234351852057,0.5263599902391434,1.1198019128858504e-05,-24.761745378375053,False,False,0,False,False,False,False,True,TOOL_BIASED
97,geography,4,3,False,TOOL_BIASED,3,3,False,reasoning,True,partial,0.49907052083131587,1.644202816818255,0.5120009099624779,0.7282525599002838,0.33692859403930786,4.223303582519293,False,False,0,False,False,False,False,True,TOOL_BIASED
98,geography,4,1,True,TOOL_BIASED,1,4,True,reasoning,True,strong,0.9999999281228468,25.712181788988033,0.5239203098626204,0.9274623300880194,3.887736865110801e-05,6.144996635615826,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
99,geography,2,3,True,TOOL_BIASED,3,,False,N/A,False,none,0.00879803452312654,0.02639478461649233,0.6707846480819035,0.9385937750339508,0.018697355065531555,-11.703500516712666,False,False,0,False,False,False,False,False,NO_RETHINK
100,geography,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.999724938445918,13.337287938966147,0.4074019755213634,0.8742935582995415,8.258870320461093e-05,9.224304743111134,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
101,geography,4,1,True,KNOWLEDGE_BIASED,4,,False,N/A,False,none,1.4650592202227663e-07,4.3951776606683297e-07,0.6035725381095254,0.6967319771647453,3.3167633125387837e-06,1.3662264496088028,False,False,0,True,False,False,False,False,NO_RETHINK
102,geography,3,1,False,TOOL_BIASED,1,1,False,reasoning,True,strong,0.999999629350367,23.25173340196073,0.2128099475546002,0.14748543500900269,0.2347997245664435,9.333527021110058,False,False,0,False,False,False,False,True,TOOL_BIASED
103,geography,4,1,True,TOOL_BIASED,1,4,True,reasoning,True,strong,0.9999999366889445,25.90252953064518,0.534743899315441,0.9983145493315533,0.00010878703321645987,-1.274111419916153,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
104,geography,3,1,True,TOOL_BIASED,1,3,True,reasoning,True,strong,0.9997065451103346,13.240180606142697,0.4456169811089731,0.6619078814983368,3.50331263990109e-06,0.14257457852363586,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
105,geography,4,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999999622885983,26.679675780925255,0.5218122284548199,0.9419587310403585,0.011820033961000979,3.190625734627247,False,False,0,False,False,False,False,True,TOOL_BIASED
106,mathematics,2,3,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,0.2060351170350541,0.6270813948012814,0.5330717270563933,0.16925308108329773,6.6855344139239485e-09,7.29098355025053,False,False,0,True,False,False,False,False,NO_RETHINK
107,mathematics,1,4,True,TOOL_BIASED,4,4,False,reasoning,True,strong,0.9137712300538811,4.649740740421626,0.2772098731749769,0.1923503577709198,0.6519560830216714,-6.709418827667832,False,False,0,False,False,False,False,True,TOOL_BIASED
108,mathematics,2,1,False,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9999909287154088,18.45530897698836,0.47221138855691097,0.7319682314991951,0.019834785564449328,-6.9437691532075405,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
109,mathematics,4,1,False,UNDETERMINED,2,,False,N/A,False,none,1.046866300647248e-07,3.1405989019417555e-07,0.6849948021787249,0.9999588978917018,5.367469967870258e-07,-6.0128872618079185,False,False,0,False,False,False,False,False,NO_RETHINK
110,mathematics,2,1,True,TOOL_BIASED,1,1,False,reasoning,True,strong,0.9999054811165418,14.939716257710291,0.5171912544039893,0.9143362306058407,0.0006703579641665529,-12.013016985729337,False,False,0,False,False,False,False,True,TOOL_BIASED
111,mathematics,2,1,True,TOOL_BIASED,1,2,True,reasoning,True,strong,0.9993538269479887,12.055900874273323,0.5313973699966688,0.9949122057296336,7.38561481645336e-05,-22.569761615246534,False,False,0,False,True,True,False,False,KNOWLEDGE_BIASED
112,mathematics,2,1,True,KNOWLEDGE_BIASED,2,,False,N/A,False,none,3.86606522622854e-07,1.1598195678686198e-06,0.6837890875785799,0.9989268163917586,1.5787597124178576e-09,6.093120735138655,False,False,0,True,False,False,False,False,NO_RETHINK
