query,gold_tool,predicted_tool,model_output,confidence
"I can't stand reading countless Amazon reviews, can you help me if the Samsung Frame TV is a good buy?",Review,,Let me think.,0.598645031452179
How do I filter my search results by price range on Uniket?,ShoppingAssistant,,We are given a,0.6493430584669113
"I'm looking for a discounted smartwatch with advanced health tracking features, durable build quality, water resistance up to 50 meters, GPS functionality, long battery life of at least 5 days, compatible with both iOS and Android devices, and a sleek design.",ProductSearch,,Let me think.,0.558357734233141
Can you find me a reliable online store that sells secondhand electronics in Japan?,ProductSearch,,We are looking for,0.727391816675663
How reliable is the Nescafe automated coffee machine?,Review,,We are looking for,0.6157797910273075
List out 5 star review of the Sandisk 1TB Hard Disk,Review,,We are given a,0.650711365044117
I'm planning a hiking trip and need to buy some outdoor gear. Can you recommend some durable and waterproof products from Decathlon that I must use?,ShoppingAssistant,ProductSearch,ProductSearch,0.5714995041489601
"Can you thoroughly analyze and evaluate the reviews of various SSDs, taking into consideration factors such as performance, reliability, durability, storage capacity, and user satisfaction, and provide a precise recommendation declaring the absolute best SSD available in the market?",Review,,We are given a,0.6112077347934246
"I'm sick of reading Amazon reviews for laptops, how good is the M5 Macbook Air?",Review,ProductComparison,ProductComparison,0.4732232131063938
I'm looking to buy some new clothes for a special occasion. Can you help me find something unique and stylish for women on Uniket?,ShoppingAssistant,ProductSearch,ProductSearch,0.561344251036644
I'm planning to upgrade my laptop. Can you summarize the reviews on the Dell XPS range and tell me their good and bad points please?,Review,,We are given a,0.6740851290524006
How many stars does the xyz office chair have?,Review,,We are looking for,0.6263818368315697
"To enable sharing your cart with a friend on Uniket, you can easily generate a QR code by following these steps:",ShoppingAssistant,,We are given a,0.772338829934597
I need to find a gift for my friend's birthday. Can you suggest any trending tech gadgets available on Uniket?,ShoppingAssistant,ProductSearch,ProductSearch,0.5804777443408966
Can you suggest a reliable coffee machine with good customer reviews on Amazon?,Review,,"First, the user",0.7577947564423084
"Could you carefully analyze and compare the extensive customer reviews of various shoe brands, taking into account factors like the material quality, durability, design, and overall satisfaction, in order to provide a personalized and detailed recommendation for the most comfortable shoe brand that best suits my preferences and requirements?",Review,,"First, the user",0.6980520896613598
How can I search for a specific product on Uniket?,ShoppingAssistant,,We are given a,0.5794224143028259
Can you please provide me with a recommendation for a high-quality camera that is currently popular among professional photographers on Amazon?,Review,ProductSearch,ProductSearch,0.6377850696444511
"I'm so angry! Today best deals, I can't find any good discounts anywhere!",Discount,,We are given a,0.6958419792354107
I need assistance in changing my shipping address specifically for my order on Uniket. Can you please guide me on where exactly I can make this change?,ShoppingAssistant,,We are given a,0.6619497984647751
How well recommended is the 'Wings of Fire' book?,Review,,We are given a,0.5929838195443153
List out the real life user experience of the Garmin Smart watch,Review,,We are given a,0.6550934463739395
I would greatly appreciate if you could provide me with a comprehensive summary highlighting the advantages and disadvantages of the aforementioned Amazon product.,Review,,We are given a,0.7349524609744549
How do I remove an item from my cart on Uniket?,ShoppingAssistant,,We are given a,0.652700312435627
I need to buy a new refrigerator. What are consumers saying about the advantages and disadvantages of the latest LG models?,Review,,We are given a,0.6818965151906013
I'm overwhelmed by the number of items in my cart. How can I manage my online purchases?,ShoppingAssistant,,Let me think.,0.5771790370345116
Can you show me how to add items to my cart on Uniket?,ShoppingAssistant,,We are given a,0.6210485249757767
I'm currently searching for a highly-rated vegan restaurant in Osaka that specifically caters to individuals following a plant-based diet and offers a wide range of delicious vegan dishes.,ProductSearch,,We are given a,0.6341472007334232
What are people's opinions on the Boat 512s?,Review,,We are looking for,0.723143458366394
I'm redecorating my living room and need a new sofa. Do IKEA sofas have good comments?,Review,,Let me think.,0.565681304782629
"I'm looking to save some money while shopping online by finding discount codes, comparing prices from different websites, and taking advantage of any special promotions or deals available.",Discount,,Let me think.,0.4521253928542137
How to filter your search results by price range on Uniket?,ShoppingAssistant,,We are given a,0.622881107032299
"What do users say about the sound quality, battery life, and reliability of the Bose QC45?",Review,,Let me think.,0.5599710159003735
Could you please provide a detailed summary of the advantages and disadvantages of this particular SSD model based on users' requests and feedback?,Review,,Let me analyze the,0.6024738661944866
"How does the Apple Watch fare in terms of features, accuracy, and customer feedback?",Review,,Let me think.,0.5059323012828827
How many speed settings does the Usha 3 blender have?,Review,ProductComparison,ProductComparison,0.46775129809975624
Do you have any startups for sale in the e-commerce sector?,ProductSearch,,We are not a,0.5828210189938545
Could you provide a summary of the pros and cons for Intel 660p?,Review,,We are given a,0.6332748420536518
"I'm so frustrated, eBay is so expensive! Any suggestions?",ProductSearch,,Let me think.,0.5874428674578667
I seem to have lost track of everything I've put in my cart. Is there a way I could manage it more efficiently?,ShoppingAssistant,,We are given a,0.7252925969660282
Can you compare the reviews of different SSDs and tell me which one is the best?,Review,,Let me think.,0.5192149132490158
